"","rep.0..days.","rep.0..days."
"54",29768.3473175106,20216.5223992661
"55",29415.994801738,20216.7947152402
"56",29967.6636440248,20214.1822221262
"57",29016.3127925746,20206.136161107
"58",28915.0984131286,20207.0723409311
"59",28877.8484720642,20204.8857462264
"60",28538.1920373784,20198.2552013791
"61",28758.9838492406,20193.6442001656
"62",28593.6661915549,20197.1952254425
"63",28246.8399473685,20192.7724778541
"64",28083.845968899,20191.763838604
"65",27970.5228499794,20208.9177816632
"66",28050.7176763282,20208.2037706047
"67",28160.2828296812,20221.088045531
"68",28074.9945883009,20225.2892174961
"69",27907.573196972,20233.0061015923
"70",28201.8183246785,20228.2282368599
"71",28155.9627424526,20243.2117988885
"72",28156.8390431866,20252.8187490534
"73",28002.9404635491,20248.5209694571
"74",28010.6185460687,20249.9315291573
"75",27840.776350369,20255.0089236676
"76",27770.3280772177,20267.7025984636
"77",27682.4385170259,20262.8144664097
"78",27610.7694000755,20243.59479152
"79",27625.9559278117,20260.9100533863
"80",27593.4435977668,20226.7911612609
"81",27560.6634131847,20237.9091464397
"82",27566.4245981566,20261.5787765551
"83",27509.8845125618,20290.9537466868
"84",27507.9666505637,20296.60199506
"85",27492.4128888732,20295.7440071572
"86",27551.3711828763,20307.6726746949
"87",27568.2019011851,20321.4894230863
"88",27626.9351566301,20336.0236642216
"89",27532.3978782372,20338.8346453458
"90",27525.7879137435,20329.180998177
"91",27522.019968371,20348.7322981701
"92",27497.2187183095,20346.6230371802
"93",27474.2660614594,20349.004649623
"94",27544.0790816504,20354.5536551924
"95",27486.4822912651,20336.2122302909
"96",27545.5952457074,20338.351688408
"97",27600.625632801,20349.7173078654
"98",27764.6407255872,20340.3210425312
"99",27695.7747250025,20362.4272558337
"100",27696.41210829,20356.8395545901
"101",27641.0816294004,20378.2405718142
"102",27583.2308834735,20389.6452063056
"103",27503.5673725619,20418.3238279934
"104",27601.4820982954,20435.1083171901
"105",27663.9317537712,20433.1057420904
"106",27608.8469188737,20451.4664866929
"107",27546.9129122918,20465.0087049881
"108",27943.7603604978,20398.8820041565
"109",27952.7334081633,20396.2468393822
"110",28113.6219954066,20394.0222539903
"111",28401.111252869,20410.0082908292
"112",28077.7814900336,20432.8637549965
"113",28042.2310595563,20433.8227312508
"114",27862.1823177689,20442.7109950993
"115",28185.1406338393,20454.7364948556
"116",28209.8581934076,20448.4133225837
"117",28219.0403576668,20421.9728580855
"118",28418.605357632,20446.1378232562
"119",28251.5652717026,20452.8110188634
"120",28395.0388338267,20463.6721844153
