"","rep.0..days.","rep.0..days."
"80",27193.4248467607,19916.8703563448
"81",27195.8313555157,19918.6329192862
"82",27198.2380772371,19920.3956382074
"83",27200.6450119436,19922.158513122
"84",27203.0521596542,19923.921544044
"85",27205.4595203877,19925.6847309872
"86",27207.8670941629,19927.4480739653
"87",27210.2748809987,19929.2115729922
"88",27212.682880914,19930.9752280816
"89",27215.0910939276,19932.7390392475
"90",27217.4995200583,19934.5030065035
"91",27219.9081593251,19936.2671298635
"92",27222.3170117468,19938.0314093414
"93",27224.7260773422,19939.7958449509
"94",27227.1353561302,19941.5604367059
"95",27229.5448481297,19943.3251846201
"96",27231.9545533596,19945.0900887074
"97",27234.3644718387,19946.8551489817
"98",27236.7746035859,19948.6203654567
"99",27239.1849486201,19950.3857381462
"100",27241.5955069601,19952.1512670641
"101",27244.0062786248,19953.9169522243
"102",27246.4172636332,19955.6827936404
"103",27248.828462004,19957.4487913265
"104",27251.2398737562,19959.2149452962
"105",27253.6514989086,19960.9812555635
"106",27256.0633374801,19962.7477221421
"107",27258.4753894897,19964.5143450459
"108",27260.8876549561,19966.2811242887
"109",27263.3001338984,19968.0480598844
"110",27265.7128263353,19969.8151518468
"111",27268.1257322858,19971.5824001897
"112",27270.5388517688,19973.349804927
"113",27272.9521848032,19975.1173660725
"114",27275.3657314078,19976.88508364
"115",27277.7794916017,19978.6529576435
"116",27280.1934654035,19980.4209880967
"117",27282.6076528324,19982.1891750134
"118",27285.0220539071,19983.9575184077
"119",27287.4366686466,19985.7260182931
"120",27289.8514970699,19987.4946746838
"121",27292.2665391957,19989.2634875934
"122",27294.681795043,19991.0324570358
"123",27297.0972646308,19992.8015830249
"124",27299.5129479779,19994.5708655745
"125",27301.9288451033,19996.3403046986
"126",28365.5666954891,19002.9626868685
"127",28368.0769340846,19004.6443726559
"128",28370.587394826,19006.3262072658
"129",28373.0980777332,19008.0081907113
"130",28375.6089828257,19009.6903230055
"131",28378.1201101232,19011.3726041617
"132",28380.6314596454,19013.055034193
"133",28383.1430314119,19014.7376131126
"134",28385.6548254424,19016.4203409337
"135",28388.1668417566,19018.1032176694
"136",28390.6790803742,19019.786243333
"137",28393.1915413147,19021.4694179375
"138",28395.704224598,19023.1527414963
"139",28398.2171302436,19024.8362140224
"140",28400.7302582712,19026.519835529
"141",28403.2436087006,19028.2036060294
"142",28405.7571815514,19029.8875255367
"143",28408.2709768433,19031.5715940641
"144",28410.7849945959,19033.2558116248
"145",28413.299234829,19034.940178232
"146",28415.8136975623,19036.6246938988
"147",28418.3283828154,19038.3093586385
"148",28420.843290608,19039.9941724643
"149",28423.3584209599,19041.6791353893
"150",28425.8737738907,19043.3642474268
"151",28428.3893494201,19045.0495085899
"152",28430.9051475678,19046.7349188918
"153",28433.4211683535,19048.4204783458
"154",28435.937411797,19050.106186965
"155",28438.4538779179,19051.7920447627
