"","rep.0..days.","rep.0..days."
"405",30642.4288711289,17472.6596298643
"406",30645.1406028717,17474.2058899845
"407",30647.8525745919,17475.7522869425
"408",30650.5647863107,17477.2988207505
"409",30653.2772380493,17478.8454914204
"410",30655.9899298289,17480.3922989645
"411",30658.7028616709,17481.9392433948
"412",30661.4160335964,17483.4863247235
"413",30664.1294456268,17485.0335429627
"414",30666.8430977832,17486.5808981244
"415",30669.5569900869,17488.1283902209
"416",30672.2711225592,17489.6760192642
"417",30674.9854952212,17491.2237852664
"418",30677.7001080944,17492.7716882398
"419",30680.4149611998,17494.3197281963
"420",30683.1300545589,17495.8679051481
"421",30685.8453881927,17497.4162191073
"422",30688.5609621227,17498.9646700861
"423",30691.2767763701,17500.5132580966
"424",30693.9928309561,17502.0619831509
"425",30696.709125902,17503.6108452612
"426",30699.4256612291,17505.1598444395
"427",30702.1424369587,17506.708980698
"428",30704.859453112,17508.2582540488
"429",30707.5767097103,17509.8076645041
"430",30710.2942067748,17511.357212076
"431",30713.011944327,17512.9068967767
"432",30715.7299223879,17514.4567186182
"433",30718.4481409791,17516.0066776127
"434",30721.1666001216,17517.5567737723
"435",30723.8852998368,17519.1070071092
"436",30726.604240146,17520.6573776355
"437",30729.3234210705,17522.2078853634
"438",30732.0428426316,17523.758530305
"439",30734.7625048506,17525.3093124724
"440",30737.4824077487,17526.8602318779
"441",30740.2025513473,17528.4112885334
"442",30742.9229356677,17529.9624824512
"443",30745.6435607311,17531.5138136435
"444",30748.3644265589,17533.0652821223
"445",30751.0855331724,17534.6168878998
"446",30753.8068805929,17536.1686309882
"447",30756.5284688417,17537.7205113997
"448",30759.2502979401,17539.2725291463
"449",30761.9723679095,17540.8246842402
"450",30764.6946787711,17542.3769766937
"451",30767.4172305463,17543.9294065187
"452",30770.1400232563,17545.4819737276
"453",30772.8630569226,17547.0346783324
"454",30775.5863315663,17548.5875203454
"455",30778.309847209,17550.1404997786
"456",30781.0336038718,17551.6936166442
"457",30783.7576015761,17553.2468709545
"458",30786.4818403433,17554.8002627215
"459",30789.2063201947,17556.3537919574
"460",30791.9310411515,17557.9074586744
"461",30794.6560032353,17559.4612628847
"462",30797.3812064672,17561.0152046004
"463",30800.1066508686,17562.5692838337
"464",30802.8323364609,17564.1235005967
"465",30805.5582632654,17565.6778549017
"466",30808.2844313035,17567.2323467608
"467",30811.0108405965,17568.7869761862
"468",30813.7374911657,17570.34174319
"469",30816.4643830326,17571.8966477845
"470",30819.1915162184,17573.4516899817
"471",30821.9188907445,17575.006869794
"472",30824.6465066324,17576.5621872334
"473",30827.3743639032,17578.1176423121
"474",30830.1024625785,17579.6732350424
"475",30832.8308026795,17581.2289654364
"476",30835.5593842277,17582.7848335062
"477",30838.2882072443,17584.3408392641
"478",30841.0172717508,17585.8969827223
"479",30843.7465777686,17587.4532638929
"480",30846.4761253189,17589.0096827881
"481",30849.2059144233,17590.5662394202
"482",30851.935945103,17592.1229338012
"483",30854.6662173794,17593.6797659435
"484",30857.396731274,17595.2367358591
"485",30860.127486808,17596.7938435603
"486",30862.858484003,17598.3510890593
"487",30865.5897228802,17599.9084723682
"488",30868.3212034611,17601.4659934994
"489",30871.052925767,17603.0236524648
"490",30873.7848898193,17604.5814492768
"491",30876.5170956395,17606.1393839476
"492",30879.2495432489,17607.6974564893
"493",30881.982232669,17609.2556669142
"494",30884.7151639211,17610.8140152344
"495",30887.4483370266,17612.3725014622
"496",30890.1817520069,17613.9311256098
"497",30892.9154088835,17615.4898876893
"498",30895.6493076777,17617.048787713
"499",30898.3834484109,17618.6078256931
"500",30901.1178311046,17620.1670016418
"501",30903.8524557802,17621.7263155713
"502",30906.5873224591,17623.2857674938
"503",30909.3224311627,17624.8453574215
"504",30912.0577819124,17626.4050853667
"505",30914.7933747296,17627.9649513415
