"","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days."
"52",29868.6070236728,29870.4817448373,29875.9205981332,29870.3588527728,29877.3819014606
"53",29869.5552484707,29871.4300291511,29876.8690551117,29871.3071331852,29878.3304048304
"54",29870.5035033715,29872.3783435696,29877.8175422005,29872.2554437022,29879.278938312
"55",29871.451788376,29873.3266880938,29878.7660594005,29873.2037843248,29880.2275019062
"56",29872.4001034854,29874.2750627247,29879.7146067125,29874.1521550539,29881.176095614
"57",29873.3484487004,29875.2234674632,29880.6631841377,29875.1005558906,29882.1247194364
"58",29874.2968240221,29876.1719023103,29881.6117916769,29876.0489868356,29883.0733733743
"59",29875.2452294515,29877.1203672669,29882.5604293312,29876.99744789,29884.0220574287
"60",29876.1936649894,29878.0688623339,29883.5090971013,29877.9459390548,29884.9707716005
"61",29877.1421306369,29879.0173875124,29884.4577949884,29878.8944603309,29885.9195158907
"62",29878.0906263948,29879.9659428033,29885.4065229934,29879.8430117193,29886.8682903002
"63",29879.0391522643,29880.9145282075,29886.3552811172,29880.7915932209,29887.8170948301
"64",29879.9877082461,29881.8631437261,29887.3040693608,29881.7402048367,29888.7659294812
"65",29880.9362943413,29882.8117893598,29888.2528877251,29882.6888465676,29889.7147942545
"66",29881.8849105508,29883.7604651098,29889.2017362111,29883.6375184145,29890.663689151
"67",29882.8335568756,29884.709170977,29890.1506148198,29884.5862203786,29891.6126141716
"68",29883.7822333167,29885.6579069623,29891.0995235521,29885.5349524606,29892.5615693173
"69",29884.7309398749,29886.6066730666,29892.0484624089,29886.4837146616,29893.510554589
"70",29885.6796765513,29887.5554692911,29892.9974313913,29887.4325069825,29894.4595699878
"71",29886.6284433467,29888.5042956365,29893.9464305001,29888.3813294243,29895.4086155144
"72",29887.5772402623,29889.4531521038,29894.8954597364,29889.3301819879,29896.35769117
"73",29888.5260672988,29890.4020386941,29895.8445191011,29890.2790646743,29897.3067969555
"74",29889.4749244574,29891.3509554082,29896.7936085951,29891.2279774844,29898.2559328717
"75",29890.4238117388,29892.2999022471,29897.7427282194,29892.1769204192,29899.2050989198
"76",29891.3727291441,29893.2488792118,29898.691877975,29893.1258934796,29900.1542951006
"77",29892.3216766743,29894.1978863032,29899.6410578628,29894.0748966667,29901.103521415
"78",29893.2706543303,29895.1469235224,29900.5902678838,29895.0239299813,29902.0527778642
"79",29894.219662113,29896.0959908701,29901.5395080389,29895.9729934245,29903.0020644489
"80",29895.1687000235,29897.0450883475,29902.488778329,29896.9220869971,29903.9513811702
"81",29896.1177680626,29897.9942159554,29903.4380787553,29897.8712107002,29904.900728029
"82",29897.0668662313,29898.9433736949,29904.3874093185,29898.8203645346,29905.8501050262
"83",29898.0159945306,29899.8925615668,29905.3367700197,29899.7695485014,29906.7995121629
"84",29898.9651529614,29900.8417795721,29906.2861608598,29900.7187626015,29907.74894944
"85",29899.9143415247,29901.7910277119,29907.2355818397,29901.6680068359,29908.6984168585
"86",29900.8635602215,29902.7403059869,29908.1850329605,29902.6172812055,29909.6479144192
"87",29901.8128090527,29903.6896143983,29909.1345142231,29903.5665857112,29910.5974421232
"88",29902.7620880192,29904.6389529469,29910.0840256284,29904.5159203541,29911.5469999714
"89",29903.7113971221,29905.5883216337,29911.0335671774,29905.465285135,29912.4965879648
"90",29904.6607363622,29906.5377204597,29911.9831388711,29906.4146800551,29913.4462061043
"91",29905.6101057406,29907.4871494258,29912.9327407104,29907.3641051151,29914.3958543909
"92",29906.5595052582,29908.436608533,29913.8823726962,29908.313560316,29915.3455328255
"93",29907.5089349159,29909.3860977822,29914.8320348296,29909.2630456589,29916.2952414092
"94",29908.4583947147,29910.3356171745,29915.7817271115,29910.2125611446,29917.2449801428
"95",29909.4078846555,29911.2851667106,29916.7314495428,29911.1621067742,29918.1947490273
"96",29910.3574047394,29912.2347463917,29917.6812021245,29912.1116825486,29919.1445480637
"97",29911.3069549673,29913.1843562187,29918.6309848575,29913.0612884687,29920.0943772529
"98",29912.2565353401,29914.1339961924,29919.5807977429,29914.0109245355,29921.0442365959
"99",29913.2061458587,29915.083666314,29920.5306407815,29914.9605907499,29921.9941260936
"100",29914.1557865243,29916.0333665843,29921.4805139744,29915.910287113,29922.9440457471
"101",29915.1054573376,29916.9830970043,29922.4304173224,29916.8600136256,29923.8939955572
"102",29916.0551582997,29917.9328575749,29923.3803508266,29917.8097702888,29924.8439755249
"103",29917.0048894114,29918.8826482971,29924.3303144879,29918.7595571034,29925.7939856512
"104",29917.9546506739,29919.8324691719,29925.2803083072,29919.7093740705,29926.744025937
"105",29918.904442088,29920.7823202003,29926.2303322855,29920.659221191,29927.6940963833
"106",29919.8542636547,29921.7322013831,29927.1803864239,29921.6090984658,29928.6441969911
"107",29920.8041153749,29922.6821127213,29928.1304707231,29922.559005896,29929.5943277612
"108",29921.7539972496,29923.6320542159,29929.0805851842,29923.5089434824,29930.5444886948
"109",29922.7039092798,29924.5820258679,29930.0307298082,29924.4589112261,29931.4946797926
"110",29923.6538514664,29925.5320276782,29930.980904596,29925.4089091279,29932.4449010557
"111",29924.6038238104,29926.4820596478,29931.9311095485,29926.3589371889,29933.3951524851
"112",29925.5538263127,29927.4321217776,29932.8813446667,29927.3089954099,29934.3454340816
"113",29926.5038589743,29928.3822140686,29933.8316099517,29928.2590837921,29935.2957458463
"114",29927.4539217962,29929.3323365217,29934.7819054042,29929.2092023362,29936.2460877801
"115",29928.4040147792,29930.2824891379,29935.7322310253,29930.1593510433,29937.1964598839
"116",29929.3541379244,29931.2326719181,29936.682586816,29931.1095299144,29938.1468621588
"117",29930.3042912327,29932.1828848634,29937.6329727772,29932.0597389503,29939.0972946057
"118",29931.2544747051,29933.1331279746,29938.5833889099,29933.0099781521,29940.0477572254
"119",29932.2046883426,29934.0834012528,29939.5338352149,29933.9602475207,29940.9982500191
"120",29933.154932146,29935.0337046988,29940.4843116934,29934.910547057,29941.9487729877
"121",29934.1052061164,29935.9840383137,29941.4348183462,29935.8608767621,29942.899326132
"122",29935.0555102546,29936.9344020984,29942.3853551742,29936.8112366369,29943.8499094532
"123",29936.0058445618,29937.8847960539,29943.3359221786,29937.7616266822,29944.800522952
