"","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days."
"115",37977.1449554135,28184.3553689886,25274.9472149338,23695.5606423859,22180.2381782046
"116",37480.4201243181,27786.0502738411,25875.9058914812,23616.3911786627,22127.0942454971
"117",38115.718692257,27865.1319417807,25950.0180199861,23391.4238009296,21934.7789685969
"118",38854.5803833402,27858.588406666,26233.1242824765,23267.8842300553,21573.6648607459
"119",39139.2639687752,27194.2037419558,26582.4889851016,23656.7583520905,21705.2734259779
"120",39830.5255829161,27062.0927921939,26642.4458196094,23729.2381094645,21731.3555017189
"121",38410.8242266751,26757.5749077118,26918.7699047491,23673.8817144288,21855.701825637
"122",38440.2053653195,26883.7288389918,27517.1051577399,23790.1981878255,21870.383783624
"123",37960.5233795621,27159.2248229828,28154.1855501227,23638.8610295566,21592.2708564542
"124",38481.2322030791,27648.8699786255,28561.020585735,23801.5945037276,21896.2102668384
"125",37867.445896555,26832.8252722003,28438.7964224413,23279.8143569652,21673.7435139789
"126",37251.2254775413,27211.5538450459,27978.9640417164,23095.4932635575,21688.4623770357
"127",37884.7832280859,28385.6527386961,28231.1050931647,23242.4655578936,21366.6762471647
"128",37151.5841986508,28749.064695934,28582.9993179555,22844.9125341749,21419.7582976154
"129",37253.7557118725,28366.1343013849,28107.9339483621,22801.1475329264,21568.7876666296
"130",38147.5114813231,28358.6344353502,27288.2801586505,23295.0143746587,22175.405046782
"131",38187.7918582459,28692.400867046,27762.4905596503,22960.6894632561,21880.4286675993
"132",37702.3343266412,28797.6778126098,27244.6180125386,23214.2355779346,22187.3086326743
"133",37319.3609051386,28734.4832946509,27487.8184463827,23427.6146776974,22879.5120898258
"134",37685.7800114037,29173.9108119694,27499.7104899555,23357.0802543309,22790.1051547103
"135",39273.2177310694,29154.4316669864,27253.5746860811,23842.6561627109,22835.802474977
"136",39188.4767838306,29673.9931602459,27064.8309602349,22873.2003143159,22331.2597798569
"137",38774.6516343811,29983.2081730716,27241.5291997556,22814.5669740542,22326.0821459179
"138",38819.822250717,29415.869220158,27437.8190213892,22613.038176157,22090.097585657
"139",37937.8522476297,28830.6656093423,27416.1484670269,22901.3232893033,22345.5318276295
"140",39134.506838743,29000.0022092122,27561.0937416186,22775.4697847844,22794.7638933672
"141",39386.7083345662,29625.3939248156,27353.0031962428,22716.1447258855,22984.6016957899
"142",39174.3822548696,29939.5858414238,27212.1632094347,22834.4235078264,23043.0233876063
"143",38721.2250072376,29315.7565126046,27183.4884622335,22948.0543335244,22725.2109509225
"144",38502.3556001537,29319.5981053077,27551.4352472892,22993.9658657724,22208.0991368389
