"","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days."
"73",30751.5361972675,30873.1542354382,31475.0562074429,32097.3087031732,30981.4867220723
"74",30826.7462736371,30960.7160258493,31289.6006644388,32401.2504457229,31152.5575120055
"75",30800.6531306304,31077.356358364,31603.9360252752,32568.7512652725,31097.2200849935
"76",30819.7044124942,31254.3248569254,31722.3566286805,32639.1711292516,31371.6684059157
"77",30838.1001057273,31051.8113397179,31983.4662625772,32405.6724284402,31660.8987695089
"78",30941.7241534837,30929.0896989595,32091.5500636053,32575.798299819,31484.5888277493
"79",30949.0554146723,30739.5635754587,32497.6414910425,32977.4800818473,31334.0123235816
"80",30984.1720636265,30771.3228094453,32510.6833713447,33087.8682003494,31003.3561012557
"81",30987.4868394816,30885.2758559485,32891.9355814099,33274.6780782764,30958.7106414965
"82",30966.8388406035,30747.7833610255,32791.8363278105,32999.2489153269,31228.7456879637
"83",30999.5028590171,30652.1670808698,32349.6560309908,33334.3030991016,31514.4309022308
"84",30975.3619723978,30808.4352014108,32792.3587431932,34086.8899879332,31591.0933695096
"85",30979.9372137633,30662.9777359502,32748.8476391929,33468.0078510532,31344.2143461535
"86",30941.3825046149,30449.9143735032,33130.1433777636,33292.7230278477,31373.1467751953
"87",30916.9943705748,30536.0999656636,33281.1944681494,32541.4530224468,31454.9529552842
"88",30965.5579748514,30465.2234011952,33102.4944533116,32997.6266797797,31308.333173257
"89",30978.7830471827,30595.6203538469,33088.0433562702,33397.8010401631,31266.398462934
"90",31003.7858236634,30579.3477666254,32697.8407443698,32628.2340246066,31341.6480306991
"91",31022.7274934955,30529.8277857882,32786.7929865591,32774.0950881527,31338.7207021733
"92",31050.3431763613,30596.5788210335,33499.4216725588,33141.2479387162,31689.0977510663
"93",31045.9863089958,30647.8681445741,33291.3088628336,32908.0979763113,31993.5769307198
"94",31030.226559595,30903.6060980063,32987.9988723819,33129.0625412884,31946.8289936856
"95",31025.717991898,30794.2160469725,32911.4560206965,32980.1943974384,31923.1290474256
"96",30977.0464321645,30840.9693208309,32657.2884257392,32905.1062211412,31988.1558289246
"97",30955.8085165176,30800.017983547,32840.6963394074,32787.7859254664,31917.1845546904
"98",30899.6242340281,30695.01113431,32970.5038633902,32867.2622888657,32480.7176971561
"99",30890.5697570615,30446.4143493998,32566.1140876623,33424.2731217175,32956.0474330291
"100",30896.3990162981,30361.16456917,31891.6962498946,33387.7505105456,33472.3693027919
"101",30858.3984201637,30379.8083121801,32250.0137008707,33665.7808174861,33291.3917137172
"102",30864.0897486269,30471.3327455826,32075.3685547176,33837.7055327353,33563.2534524992
"103",30914.9155068325,30395.5561905096,32215.6009108659,33631.6421847471,33259.9247695348
"104",30904.3550037824,30302.6967722533,32078.2088065305,33546.7473564104,33131.8681597964
"105",30913.7545610025,30380.588743753,31991.5321359197,33428.0483761149,33577.5218326299
"106",30924.1170686238,30285.2967149033,31785.5121876538,33022.1282517109,33245.8446103009
"107",30956.1659534147,30253.0986626055,31350.45157146,33170.6352214739,33710.7125639608
"108",30952.7932158779,30263.5462552429,30914.1060383404,33024.9298899121,34207.0529293215
"109",30990.1893275273,30187.1939255219,30931.5389068198,32908.7580264137,33617.938259587
"110",30994.7894782596,30174.4587191571,31062.3250498724,32847.8523237715,34043.269658024
"111",30974.4357952673,30189.3878280575,30958.7653352381,32790.1061095769,33726.2066596701
"112",30977.6959360842,30167.9872477841,31032.3607282746,32011.0612893068,33866.9410399449
"113",30968.9309825635,30153.7584253357,30817.8411244799,32370.7014441531,33774.7535331262
"114",30948.172995994,30171.5316988523,30682.0945908274,32527.3436653443,33849.5150427169
"115",30965.6038018671,30138.0539224864,31046.817515536,32401.8329058056,33889.5671591085
"116",30940.2696857174,30147.0428545789,30650.1445668333,32474.949259651,33942.2111660947
"117",30975.3075532558,30130.4363151567,30583.4184870067,32689.0820836608,34132.7690716536
"118",31015.7850714641,30122.8270392314,30428.7589803918,32810.5026757996,34489.8681305015
"119",31031.8219558448,30151.7599093562,30275.3683773041,32428.0136804708,34360.4397444748
"120",31063.8095799859,30146.576307997,30228.4575184583,32354.842838529,34336.593453528
"121",31005.7621234166,30171.3384891599,30150.0859885053,32410.9742737852,34210.6067244791
"122",31004.1592132459,30130.565625239,30096.7932763308,32294.4129206003,34198.0797101629
"123",30981.410047273,30086.1066787875,30107.7137600743,32442.2207050077,34474.3828766622
"124",31016.2241599216,30084.6464184502,30121.5351672551,32281.0719222955,34172.1885591975
"125",30987.1139672245,30062.3604100047,30119.7075159486,32797.3623225157,34391.2236801855
